a,b,km,csi
SL003,SL020,6.833136082221951,0.6837944664031621
SL003,SL021,11.617341348629628,0.5816993464052288
SL003,SL022,8.022140177894642,0.6359223300970874
SL003,SL023,15.624424712116355,0.5435897435897435
SL003,SL024,17.787043105254416,0.6440944881889764
SL003,SL025,4.237556635193616,0.5553539019963702
SL003,SL026,3.122048476502065,0.5636704119850188
SL003,SL027,1.4551462763735892,0.7185430463576159
SL003,SL028,11.9595270467556,0.23404255319148937
SL003,SL029,7.020113989206255,0.7022222222222222
SL003,SL032,3.144729281570747,0.69377990430622
SL003,SL033,7.1971046596592325,0.5263157894736842
SL003,SL034,6.106296017920969,0.6373626373626373
SL003,SL035,0.9844687212151823,0.6423487544483986
SL003,SL036,10.665377457233621,0.6910569105691057
SL003,SL037,14.693507835907598,0.7015503875968992
SL003,SL038,2.037582552727423,0.41935483870967744
SL003,SL040,4.46204356509029,0.5426136363636364
SL003,SL041,2.917609992672753,0.5060240963855421
SL003,SL042,6.115429633563214,0.5394736842105263
SL003,SL044,14.154645817296375,0.4455852156057495
SL003,SL045,15.149459012873328,0.4965986394557823
SL003,SL050,12.314100449428183,0.4036363636363636
SL003,SL051,16.619778375317892,0.0958904109589041
SL003,SL054,19.124088548592844,0.6721311475409836
SL003,SL055,5.694616529353355,0.5337423312883436
SL003,SL056,0.6123740547924041,0.5085470085470085
SL003,SL062,4.779146876484583,0.8277310924369747
SL003,SL068,2.859368668929698,0.9030303030303031
SL003,SL017,17.52120037720967,0.6849557522123894
SL005,SL006,5.329356608450846,0.5465465465465466
SL005,SL007,13.910172007375852,0.8733624454148472
SL005,SL008,13.002834606667493,0.7178988326848249
SL005,SL009,7.224180365184191,0.9536082474226805
SL005,SL011,5.557391924056239,0.8168761220825853
SL005,SL012,7.486324757572839,0.8280542986425339
SL005,SL015,13.140545736343958,0.8271276595744681
SL005,SL016,10.510104541290564,0.7746243739565943
SL005,SL018,9.544519732758012,0.5304347826086957
SL005,SL019,9.055547307671755,0.7486910994764397
SL005,SL020,9.854881326323998,0.8418277680140598
SL005,SL021,14.916379226998147,0.8232558139534883
SL005,SL022,4.8468102958656205,0.5533596837944664
SL005,SL023,12.749336034161187,0.8357664233576643
SL005,SL024,18.69265260607518,0.7984848484848485
SL005,SL025,5.956781179441076,0.8226600985221675
SL005,SL026,1.2389283472367671,0.8345323741007195
SL005,SL027,2.043225766046615,0.8131868131868132
SL005,SL028,11.56128602817202,0.5625
